Country,State,District,Year,"Cases Due To Plasmodium Falciparum (UOM:%(Percentage)), Scaling Factor:1","Annual Blood Examination Rate (UOM:Number), Scaling Factor:1","Annual Parasite Incidence (UOM:Number), Scaling Factor:1","Slide Positivity Rate  (UOM:Number), Scaling Factor:1","Annual Falciparum Incidence   (UOM:Number), Scaling Factor:1","Slide Falciparum Rate  (UOM:Number), Scaling Factor:1","Deaths Due To Plasmodium Vivax Malaria (UOM:Number), Scaling Factor:1","Deaths Due To Plasmodium Falciparum Malaria (UOM:Number), Scaling Factor:1","Population (UOM:Number), Scaling Factor:1","Blood Smears Collected For Malaria Testing (UOM:Number), Scaling Factor:1","Blood Smears Examined  (UOM:Number), Scaling Factor:1","Indigenous Plasmodium Vivax Cases (UOM:Number), Scaling Factor:1","Indigenous Plasmodium Falciparum Cases (UOM:Number), Scaling Factor:1","Indigenous Mixed Malaria Infections (UOM:Number), Scaling Factor:1","Total Indigenous Malaria Positives (UOM:Number), Scaling Factor:1","Repeat Tests Or Re-Tests (UOM:Number), Scaling Factor:1","Total Blood Smears Collected For Malaria Testing (UOM:Number), Scaling Factor:1","Total Tests Conducted Combining Blood Smear Collection And Rapid Diagnostic Tests (UOM:Number), Scaling Factor:1","Total Blood Smears Examined (UOM:Number), Scaling Factor:1","Total Tests Examined Combining Blood Smear Examined And Rapid Diagnostic Tests  (UOM:Number), Scaling Factor:1","Total Tests Conducted Combining Blood Smear Collection And Rapid Diagnostic Tests  (UOM:Number), Scaling Factor:1","Total Tests Examined Combining Blood Smear Examined And Rapid Diagnostic Tests  (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Of Plasmodium Vivax (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Of Plasmodium Falciparum (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Of Mixed Malaria Infections (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Malaria Positives (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Plasmodium Vivax Cases (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Plasmodium Falciparum Cases (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Mixed Malaria Infections (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Malaria Positives (UOM:Number), Scaling Factor:1","Total Indigenous And Non Indigenous Cases Of Plasmodium Vivax (UOM:Number), Scaling Factor:1","Total Indigenous And Non Indigenous Cases Of Plasmodium Falciparum (UOM:Number), Scaling Factor:1","Mixed Indigenous And Non Indigenous Malaria Infections (UOM:Number), Scaling Factor:1","Total Of Indigenous And Non Indigenous Cases (UOM:Number), Scaling Factor:1","Imported Cases Or Non Indigenous Cases Of Plasmodium Malariae (UOM:Number), Scaling Factor:1","Imported Cases Or Non Indigenous Cases Of Plasmodium Ovale (UOM:Number), Scaling Factor:1","Imported Cases Or Non Indigenous Cases Of Others (UOM:Number), Scaling Factor:1","Indigenous And Non Indigenous Cases Of Plasmodium Malariae (UOM:Number), Scaling Factor:1","Indigenous And Non Indigenous Cases Of Plasmodium Ovale (UOM:Number), Scaling Factor:1","Indigenous And Non Indigenous Cases Of Others (UOM:Number), Scaling Factor:1","Indigenous Cases Or Positive Cases Of Plasmodium Malariae (UOM:Number), Scaling Factor:1","Indigenous Cases Or Positive Cases Of Plasmodium Ovale (UOM:Number), Scaling Factor:1","Indigenous Cases Or Positive Cases Of Others (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2024",48.84,25.81,2.32,0.9,1.14,0.44,0,0,37,,,,,,,86,7470,2080,7470,2080,9550,9550,44,41,1,86,0,0,0,0,44,41,1,86,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Calendar Year (Jan - Dec), 2024",0,10.23,0,0,0,0,0,0,105,,,,,,,0,9377,1367,9377,1367,10744,10744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2024",40,10.63,0.04,0.04,0.02,0.01,0,0,255,,,,,,,10,25468,1651,25468,1651,27119,27119,6,2,2,10,0,0,0,0,6,2,2,10,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Unknown Districts Of India,"Calendar Year (Jan - Dec), 2024",47.9200000000000000,11.94,0.24,0.2,0.12,0.1,0,0,397,,,,,,,96,42315,5098,42315,5098,47413,47413,50,43,3,96,0,0,0,0,50,43,3,96,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Alluri Sitharama Raju,"Calendar Year (Jan - Dec), 2024",86.14,100.08,3.59,0.36,3.09,0.31,0,1,1028,,,,,,,3693,748857,279997,748857,279997,1028854,1028854,512,3121,60,3693,0,0,0,0,512,3121,60,3693,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Anakapalli,"Calendar Year (Jan - Dec), 2024",73.36,24.97,0.14,0.06,0.1,0.04,0,0,1862,,,,,,,259,380542,84389,380542,84389,464931,464931,69,170,20,259,0,0,0,0,69,170,20,259,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2024",0,18.05,0,0,0,0,0,0,2416,,,,,,,10,363297,72782,363297,72782,436079,436079,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Annamayya,"Calendar Year (Jan - Dec), 2024",0,14.64,0,0,0,0,0,0,1830,,,,,,,4,245968,21989,245968,21989,267957,267957,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Bapatla,"Calendar Year (Jan - Dec), 2024",0,21.55,0,0,0,0,0,0,1711,,,,,,,0,263797,104902,263797,104902,368699,368699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Chittoor,"Calendar Year (Jan - Dec), 2024",0,17.81,0,0,0,0,0,0,2019,,,,,,,2,335082,24420,335082,24420,359502,359502,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2024",0,19.05,0,0,0,0,0,0,1975,,,,,,,1,327968,48287,327968,48287,376255,376255,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Eluru,"Calendar Year (Jan - Dec), 2024",87.1,23.33,0.04,0.02,0.04,0.02,0,0,2168,,,,,,,93,370283,135582,370283,135582,505865,505865,12,80,1,93,0,0,0,0,12,80,1,93,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2024",10,19.74,0,0,0,0,0,0,2254,,,,,,,10,352748,92243,352748,92243,444991,444991,7,0,0,7,2,1,0,3,9,1,0,10,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Kakinada,"Calendar Year (Jan - Dec), 2024",80,13.04,0,0,0,0,0,0,2256,,,,,,,5,261483,32604,261483,32604,294087,294087,1,4,0,5,0,0,0,0,1,4,0,5,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2024",75,18.52,0,0,0,0,0,0,1871,,,,,,,4,253869,92675,253869,92675,346544,346544,1,3,0,4,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2024",11.76,24.17,0.01,0,0,0,0,0,2449,,,,,,,17,528479,63404,528479,63404,591883,591883,15,2,0,17,0,0,0,0,15,2,0,17,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Nandyal,"Calendar Year (Jan - Dec), 2024",25,23.06,0,0,0,0,0,0,1921,,,,,,,8,348918,94148,348918,94148,443066,443066,6,2,0,8,0,0,0,0,6,2,0,8,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Ntr,"Calendar Year (Jan - Dec), 2024",19.44,13.19,0.02,0.01,0,0,0,0,2392,,,,,,,36,240188,75391,240188,75391,315579,315579,29,7,0,36,0,0,0,0,29,7,0,36,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Palnadu,"Calendar Year (Jan - Dec), 2024",0,21.76,0,0,0,0,0,0,2201,,,,,,,2,351813,127204,351813,127204,479017,479017,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2024",42.86,22.13,0.01,0.01,0,0,0,0,2467,,,,,,,28,362982,182846,362982,182846,545828,545828,15,11,0,26,1,1,0,2,16,12,0,28,0,0,0,0,0,0,0,0,0
